wikidata_id	title	author	genre	characters	open_library_id	plot	authors	first_publish_date	first_sentence	genres	locations	publication_year	subjects	time_periods
Q4822053	Aura	Carlos Fuentes	Gothic novel		OL872225W	"Felipe Montero is employed in the house of an aged widow to edit her deceased husband's memoirs. There Felipe meets her beautiful green-eyed niece, Aura. His passion for Aura and his gradual discovery of the true relationship between the young woman and her aunt propel the story to its extraordinary conclusion.  Language Note: 	English and Spanish. Notes: 	Reprint. Description: 	145 p. ; 21 cm. Other Titles: 	Aura. Responsibility: 	Carlos Fuentes ; translated by Lysander Kemp."	[{'wikidata_id': 'Q154691', 'name': 'Carlos Fuentes'}]			['Gothic novel']		1962	Spanish Science fiction|Translations into English|Fiction (fictional works by one author)|Fiction, general|Spanish language materials|Mexican fiction|Man-woman relationships|Fiction|Mexicano Novela|Spanish fiction	
Q131048262	Hangang	Jo Jung-rae	fiction literature		OL12792126M		[{'wikidata_id': 'Q623737', 'name': 'Jo Jung-rae'}]			['fiction literature']		2001		
Q111596773	Apples of Gold: A Book of Godly Wisdom	Reno Omokri			OL28031996M		[{'wikidata_id': 'Q7313402', 'name': 'Reno Omokri'}]					2017		
Q113441719	A Beleaguered City	Margaret Oliphant			OL890471W		[{'wikidata_id': 'Q2415217', 'name': 'Margaret Oliphant'}]				Burgundy (France)	1880	Fiction|Fiction, short stories (single author)|Fiction, horror|Fiction, fantasy, general	
Q109627311	Portrait of a man with red hair	Hugh Walpole	horror fiction|thriller		OL13439514M		[{'wikidata_id': 'Q548004', 'name': 'Hugh Walpole'}]			['horror fiction', 'thriller']		1925		
Q107272639	Pops: Fatherhood in Pieces	Michael Chabon			OL26952408M		[{'wikidata_id': 'Q313466', 'name': 'Michael Chabon'}]					2018	Fathers|Fatherhood	
Q111589103	Love Changes Everything	Kalu Okpi			OL11148195M		[{'wikidata_id': 'Q111232236', 'name': 'Kalu Okpi'}]					1993	Modern fiction|Romance|People & Places - United States - African-American|Children's Books - Young Adult Fiction|Africa|Fiction|Love|Children: Young Adult (Gr. 10-12)	
Q58068167	Marm Lisa	Kate Douglas Wiggin			OL7003486M		[{'wikidata_id': 'Q438241', 'name': 'Kate Douglas Wiggin'}]					1896		
Q60489095	The Marathon Mystery	Burton Egbert Stevenson	mystery novel|crime novel		OL17810785M		[{'wikidata_id': 'Q3647466', 'name': 'Burton Egbert Stevenson'}]			['mystery novel', 'crime novel']		1904		
Q7723033	The Chymical Wedding	Lindsay Clarke	magic realist fiction|romance novel|paranormal fiction		OL4010311W		[{'wikidata_id': 'Q6552672', 'name': 'Lindsay Clarke'}]			['magic realist fiction', 'romance novel', 'paranormal fiction']		1989	England, fiction|Fiction, romance, contemporary|Fiction, occult & supernatural	
Q111596870	Start Solving Problems	Reno Omokri			OL34821562M		[{'wikidata_id': 'Q7313402', 'name': 'Reno Omokri'}]					2020		
Q51623171	Koujin	Miyuki Miyabe	drama television series		OL27169488M		[{'wikidata_id': 'Q290021', 'name': 'Miyuki Miyabe'}]			['drama television series']	Japan		Avarice|Suspense fiction|Monsters|Historical fiction|Fiction	
